Year,Month,DayOfWeek,Avg_AQI
2019,10,2,167.14450867052022
2019,10,3,131.5718232044199
2019,10,4,139.07413010590014
2019,10,5,146.87075928917608
2019,10,6,114.15913555992141
2019,10,7,110.68377823408625
2019,11,1,194.56296296296296
2019,11,2,192.40076335877862
2019,11,3,215.87406015037595
2019,11,4,213.30797101449275
2019,11,5,202.71926605504586
2019,11,6,190.43028485757122
2019,11,7,181.2027397260274
2019,12,1,182.76068376068375
2019,12,2,173.96345029239765
2019,12,3,189.2503328894807
2019,12,4,192.92431561996779
2019,12,5,193.40640809443508
2019,12,6,185.02372881355933
2019,12,7,197.05688073394495
2020,1,1,172.4351145038168
2020,1,2,173.24413145539907
2020,1,3,181.2414307004471
2020,1,4,191.16730038022814
2020,1,5,176.37073170731708
2020,1,6,158.5585798816568
2020,1,7,158.04407294832828
2020,2,1,153.20122887864824
2020,2,2,151.4620355411955
2020,2,3,160.91021671826624
2020,2,4,159.84695393759287
2020,2,5,152.2152671755725
2020,2,6,152.92527821939586
2020,2,7,142.8969465648855
2020,3,1,100.0546875
2020,3,2,103.35397196261682
2020,3,3,113.26931567328919
2020,3,4,116.37536231884059
2020,3,5,111.11306901615272
2020,3,6,102.31631205673759
2020,3,7,92.13709677419355
2020,4,1,81.45376955903272
2020,4,2,79.57223796033995
2020,4,3,82.47129909365559
2020,4,4,83.5072142064373
2020,4,5,87.20518602029313
2020,4,6,86.38666666666667
2020,4,7,84.40226628895184
2020,5,1,102.18181818181819
2020,5,2,95.98288159771755
2020,5,3,99.26666666666667
2020,5,4,100.4979079497908
2020,5,5,102.6757493188011
2020,5,6,98.85616438356165
2020,5,7,100.20378619153675
2020,6,1,83.36402877697842
2020,6,2,83.52619324796275
2020,6,3,82.59234234234235
2020,6,4,91.62647058823529
2020,6,5,80.6271676300578
2020,6,6,83.68347338935574
2020,6,7,82.36067892503536
2020,7,4,84.71428571428571
