City,Date,Avg_AQI
Amaravati,2019-03-13T00:00:00.000+0000,97
Amaravati,2019-03-14T00:00:00.000+0000,107
Amaravati,2019-03-15T00:00:00.000+0000,130
Amaravati,2019-03-16T00:00:00.000+0000,110
Amaravati,2019-03-17T00:00:00.000+0000,98
Amaravati,2019-03-18T00:00:00.000+0000,101
Amaravati,2019-03-19T00:00:00.000+0000,85
Amaravati,2019-03-20T00:00:00.000+0000,85
Amaravati,2019-03-21T00:00:00.000+0000,60
Amaravati,2019-03-22T00:00:00.000+0000,56
Amaravati,2019-03-23T00:00:00.000+0000,67
Amaravati,2019-03-24T00:00:00.000+0000,79
Amaravati,2019-03-25T00:00:00.000+0000,45
Amaravati,2019-03-26T00:00:00.000+0000,53
Amaravati,2019-03-27T00:00:00.000+0000,69
Amaravati,2019-03-28T00:00:00.000+0000,65
Amaravati,2019-03-29T00:00:00.000+0000,78
Amaravati,2019-03-30T00:00:00.000+0000,83
Amaravati,2019-03-31T00:00:00.000+0000,64
Amaravati,2019-04-01T00:00:00.000+0000,102
Amaravati,2019-04-02T00:00:00.000+0000,92
Amaravati,2019-04-03T00:00:00.000+0000,58
Amaravati,2019-04-04T00:00:00.000+0000,76
Amaravati,2019-04-05T00:00:00.000+0000,78
Amaravati,2019-04-06T00:00:00.000+0000,91
Amaravati,2019-04-07T00:00:00.000+0000,124
Amaravati,2019-04-08T00:00:00.000+0000,75
Amaravati,2019-04-09T00:00:00.000+0000,73
Amaravati,2019-04-10T00:00:00.000+0000,101
Amaravati,2019-04-11T00:00:00.000+0000,64
Amaravati,2019-04-12T00:00:00.000+0000,80
Amaravati,2019-04-13T00:00:00.000+0000,85
Amaravati,2019-04-14T00:00:00.000+0000,80
Amaravati,2019-04-15T00:00:00.000+0000,84
Amaravati,2019-04-16T00:00:00.000+0000,79
Amaravati,2019-04-17T00:00:00.000+0000,91
Amaravati,2019-04-18T00:00:00.000+0000,79
Amaravati,2019-04-19T00:00:00.000+0000,82
Amaravati,2019-04-20T00:00:00.000+0000,45
Amaravati,2019-04-21T00:00:00.000+0000,41
Amaravati,2019-04-22T00:00:00.000+0000,78
Amaravati,2019-04-23T00:00:00.000+0000,124
Amaravati,2019-04-24T00:00:00.000+0000,73
Amaravati,2019-04-25T00:00:00.000+0000,71
Amaravati,2019-04-26T00:00:00.000+0000,79
Amaravati,2019-04-27T00:00:00.000+0000,78
Amaravati,2019-04-28T00:00:00.000+0000,57
Amaravati,2019-04-29T00:00:00.000+0000,46
Amaravati,2019-04-30T00:00:00.000+0000,58
Amaravati,2019-05-01T00:00:00.000+0000,83
Amaravati,2019-05-02T00:00:00.000+0000,109
Amaravati,2019-05-03T00:00:00.000+0000,148
Amaravati,2019-05-04T00:00:00.000+0000,158
Amaravati,2019-05-05T00:00:00.000+0000,146
Amaravati,2019-05-06T00:00:00.000+0000,133
Amaravati,2019-05-07T00:00:00.000+0000,122
Amaravati,2019-05-08T00:00:00.000+0000,126
Amaravati,2019-05-09T00:00:00.000+0000,131
Amaravati,2019-05-10T00:00:00.000+0000,124
Amaravati,2019-05-11T00:00:00.000+0000,106
Amaravati,2019-05-15T00:00:00.000+0000,109
Amaravati,2019-05-16T00:00:00.000+0000,92
Amaravati,2019-05-17T00:00:00.000+0000,88
Amaravati,2019-05-18T00:00:00.000+0000,95
Amaravati,2019-05-19T00:00:00.000+0000,93
Amaravati,2019-05-20T00:00:00.000+0000,104
Amaravati,2019-05-21T00:00:00.000+0000,80
Amaravati,2019-05-23T00:00:00.000+0000,99
Amaravati,2019-05-24T00:00:00.000+0000,99
Amaravati,2019-05-25T00:00:00.000+0000,108
Amaravati,2019-05-26T00:00:00.000+0000,99
Amaravati,2019-05-27T00:00:00.000+0000,106
Amaravati,2019-05-28T00:00:00.000+0000,85
Amaravati,2019-05-29T00:00:00.000+0000,83
Amaravati,2019-05-30T00:00:00.000+0000,83
Amaravati,2019-05-31T00:00:00.000+0000,74
Amaravati,2019-06-01T00:00:00.000+0000,103
Amaravati,2019-06-02T00:00:00.000+0000,101
Amaravati,2019-06-03T00:00:00.000+0000,80
Amaravati,2019-06-04T00:00:00.000+0000,107
Amaravati,2019-06-05T00:00:00.000+0000,91
Amaravati,2019-06-06T00:00:00.000+0000,78
Amaravati,2019-06-07T00:00:00.000+0000,65
Amaravati,2019-06-08T00:00:00.000+0000,71
Amaravati,2019-06-09T00:00:00.000+0000,90
Amaravati,2019-06-10T00:00:00.000+0000,78
Amaravati,2019-06-11T00:00:00.000+0000,61
Amaravati,2019-06-12T00:00:00.000+0000,50
Amaravati,2019-06-13T00:00:00.000+0000,42
Amaravati,2019-06-14T00:00:00.000+0000,38
Amaravati,2019-06-15T00:00:00.000+0000,54
Amaravati,2019-06-16T00:00:00.000+0000,75
Amaravati,2019-06-17T00:00:00.000+0000,72
Amaravati,2019-06-18T00:00:00.000+0000,59
Amaravati,2019-06-19T00:00:00.000+0000,77
Amaravati,2019-06-20T00:00:00.000+0000,59
Amaravati,2019-06-21T00:00:00.000+0000,42
Amaravati,2019-06-22T00:00:00.000+0000,46
Amaravati,2019-06-23T00:00:00.000+0000,48
Amaravati,2019-06-24T00:00:00.000+0000,53
Amaravati,2019-06-25T00:00:00.000+0000,78
Amaravati,2019-06-26T00:00:00.000+0000,74
Amaravati,2019-06-27T00:00:00.000+0000,70
Amaravati,2019-06-28T00:00:00.000+0000,42
Amaravati,2019-06-30T00:00:00.000+0000,46
Amaravati,2019-07-01T00:00:00.000+0000,39
