PM2_5,PM10,NO,NO2,NH3,CO,SO2,O3
67,108.25,1.05,16.65,16,0.1,8.15,153.85
69.5,115.75,1.05,18.6,17.83,0.15,5.25,147.5
68.25,109,1.13,16.28,14.4,0.1,5,142.6
68,106.25,1.4,13.5,14.3,0.13,4.12,133.75
64.5,104,1.25,15.4,10.85,0.08,5.93,119.57
63.25,106,1.32,11.58,10.35,0.1,7.03,123
62.75,94.75,0.88,9.12,10.55,0.1,7.08,129.85
70.25,99.75,0.48,10.25,10.7,0.1,7.48,130.83
78.25,109.25,1.25,12.75,11.65,0.1,7.92,122.98
83.5,115.25,0.78,16.88,13.53,0.1,8.38,117.6
88,122,0.77,19.78,13.58,0.1,7.95,94.57
94.75,133,1.15,27.85,13.88,0.1,8.4,87.2
104,142,0.65,27.02,12.85,0.05,6.85,87.23
104,142.75,0.33,26.07,14.15,0.08,6.73,66.65
100.5,140.5,0.7,20.22,13.23,0.08,6.55,74.02
98.25,125.75,0.63,15.28,12.67,0.1,6.65,106.8
97,124.5,0.7,17.15,13.97,0.1,7.95,106.33
103,134,0.85,17.4,17.48,0.1,10.05,106.33
117.25,148,1.68,23.38,18.2,0.1,17.35,103.4
128.75,170,1.65,25.88,17.82,0.1,24.32,118.08
111,157.25,1.1,19.58,15.5,0.15,21.22,143.57
92.5,132.5,1.3,19.08,11.75,0.1,10.77,147.5
75.25,111.25,9.38,28.92,18.78,0.1,13.92,153.85
64.75,101.25,1.7,26.48,14.05,0.08,68.82,146.5
59.5,98.25,1.88,36.33,14.65,0.13,75.72,152.4
62.75,105.5,1.38,26.7,15.53,0.25,28.12,172.5
64.75,114.25,1.55,28.48,15.23,0.2,14.45,171.5
97.25,154.25,1.6,28.17,15.62,0.1,11.77,125.95
136.5,205,2.23,38.22,13.3,0.1,9.47,87.73
116,185.25,1.82,28.4,12.97,0.1,8.6,107.3
113.25,163.75,1.62,35.7,13.55,0.1,7.68,92.12
110.25,164,1.58,35.3,21.18,0.08,4,99.47
103.75,152,0.6,26.15,21.77,0.18,3.05,105.35
118,161,0.82,34.03,18.3,0.43,3.73,91.17
119.25,162.75,0.4,30.4,17.6,0.85,5.33,75.93
120,162.25,0.25,27.6,15.77,0.05,8,91.12
110.75,146.75,0.4,24.07,14.5,0.03,8.48,71.55
113.25,156.25,0.43,47.43,13.72,0.08,7.55,17.13
122.75,168.75,0.13,41.18,13.95,0.05,6.23,27.45
