PM2_5,PM10,NO,NO2,NH3,CO,SO2,O3
19.25,42.75,2,9.6,15.13,0.31,5.1,44.57
14.75,41,2.85,11.35,14.83,0.39,5.07,41.65
17.25,37.75,2.78,6.98,15.3,0.44,4.58,46.05
17.75,36.5,2.97,7.33,15.68,0.38,3.92,59.77
18.25,38.5,2.43,5.95,17.25,0.47,3.05,75.45
21.25,51.75,2.25,5.55,17,0.56,1.25,86.22
18.75,58.25,2.5,5.15,14.75,0.29,8.45,93.1
18.75,54.75,13.35,3.73,9.1,0.35,15.88,98.98
21.25,62.75,2.03,6.55,11.72,0.61,16.1,111.23
21.75,69.5,1.75,7.7,10.08,0.67,17.6,126.4
21.75,63.25,2.55,9.45,13.08,0.66,13.3,100.45
23,51.5,3.38,10.48,11.75,0,12.25,83.3
19,33.25,2.87,14.55,9.42,0,12.55,66.15
16,34.5,3.57,20.15,9.15,0,6.83,50.45
16.75,33.75,5.43,24.88,9.95,0.03,6,38.2
20,41,6.32,28.35,10.98,0.52,5.88,30.38
24.5,50.75,14.63,31.07,11.92,0.68,6.02,15.68
29.25,59.5,4,36.78,14.13,0.76,6.15,16.65
30,52,3,40.58,15.15,0.84,6.4,12.73
28.25,56,2.12,35.05,15.15,0.44,5.52,20.08
24.5,56.5,2.55,34.95,15.43,0.5,4.67,13.73
28.5,48.25,1.87,24.08,15.25,0.49,4.85,18.6
25.5,46.25,2.6,22.15,15.17,0.53,5.07,16.2
24.75,46.5,3.32,23.95,15.38,0.47,5.28,14.2
33.75,45.5,2.7,15.73,15.6,0.51,4.7,36.25
26.25,49.5,4.12,18.62,14.9,0.61,4.48,26.47
25.25,55.5,4.23,16.07,15.03,0.65,3.25,33.32
28,51.5,3.73,13.55,15.95,0.38,3.18,31.87
24,50.5,3.77,12.02,16.33,0.42,2.6,32.32
22.25,42,4.43,13.12,15.92,0.46,3.9,48.02
26.75,41.25,3.7,14.8,14.75,0.31,5.7,56.38
26.5,44.75,13.08,9.78,12.88,0.5,1.98,54.88
19.25,36.5,4.6,12.9,10.7,0.51,1.65,56.35
21.25,42.25,3.1,12.68,13.45,0.69,3.17,80.82
24,47.5,2.6,12.5,14.52,0.69,2.7,93.1
16.25,40.75,2.52,11.1,16.5,0.5,4.5,69.07
20,40.75,2.9,10.55,15.95,0.6,4.73,56.82
19.75,42.75,2.35,10.4,15.28,0.46,9.53,56.85
21.5,43,2.07,9.32,15.2,0.49,11.45,60.75
28.75,47.25,2.43,10.22,15.08,0.56,10.92,51.45
27,51,2.62,11.7,15.38,0.55,9.72,45.1
25.25,49.75,1.88,12.3,14.75,0.38,5.55,41.65
27.5,46,1.7,13.6,15.5,0.5,4.37,36.75
23,45.25,2.07,12.4,14.62,0.53,4.98,35.3
23,44,1.8,13.72,13.95,0.53,4.42,32.8
22.5,45.75,2,12.82,15.12,0.37,3.75,28.9
20.75,41.5,1.47,8.52,15,0.42,4.1,42.1
21.5,43.25,3.17,11.08,15.37,0.51,6.12,40.68
26,51.25,3.05,9.33,17.4,0.57,7.17,49
25.75,49.25,4.12,10.15,23.8,0.95,13.67,67.65
26.25,59.75,3.78,10.45,19.42,0.98,13.72,82.82
29.75,62.75,5.17,16.23,20.43,0.95,11.3,82.33
27,58.75,4.85,15.6,17.4,0.44,12.15,72.02
19,39.5,16.4,11.17,7.4,0.29,6.48,71.07
12.5,38,9.08,16.28,6.82,0.34,5.05,64.67
10.25,37.25,7.15,17.1,7.3,0.44,4.9,74
9.75,39,4.3,10.58,8,0.44,3.27,80.85
14.5,44.25,3.12,8.28,14.08,0.47,3.68,85.28
12.25,22.75,5.48,13.7,11.72,0.39,3.73,63.2
11.75,21,7.6,26.73,11.9,0.46,5.3,43.15
17,27,4.17,25.17,10.53,0.51,6.1,37.25
17.75,27,3.58,24.55,11.45,0.4,6.37,38.7
19.25,28.5,3.75,27.8,10.58,0.44,6.53,35.75
19.5,35.25,5.05,33.37,11.55,0.52,6.38,24.03
25,42,3.18,26.93,10.65,0.5,6,30.4
18.5,43,1.55,22.3,10.88,0.39,4.95,25.97
17,42.5,1.55,12.35,11.55,0.44,4.88,47.05
14.75,29.75,1,3.62,9.42,0.41,4.93,78.4
7.5,18.75,1.32,2.68,7.35,0.4,4.4,59.3
6.25,8.5,1.4,3.1,8.35,0.19,4.8,44.6
7,16,1.5,3.8,9.15,0.24,5.03,44.07
5.75,12.25,1.8,5.73,10.27,0.36,4.42,42.18
5.75,17.75,2.3,7.25,10.1,0.36,4.85,37.23
8,28.25,4.15,8.42,9.83,0.31,5,36.75
8.25,16.5,3.05,5.08,10.83,0.33,4.82,40.68
9.25,17.5,3.8,6.23,11.57,0.54,5.4,45.07
11.5,25.5,3.9,7.65,11.65,0.27,4.75,53.4
15.75,29.5,15.68,7.55,10.12,0.21,3.15,58.3
15.75,36.5,4.38,4.83,10.2,0.25,2.5,63.72
18.5,36.5,4.5,8.85,14.17,0.71,4.35,68.12
19,43.5,6.38,14.47,11.3,0.5,5.97,69.57
16,52,5.95,15.25,8.8,0,6.7,64.17
16.25,56.5,7.7,22.6,7.12,0.21,6.08,47.52
17.5,61,5.2,19.37,10.28,0.41,5.73,42.62
19.5,60.25,4.23,22.8,9.7,0.47,5.17,29.37
22.75,66,12.93,37.1,10.83,0.66,4.55,12.25
28,90,5.2,29.1,11.15,0.61,4.4,16.65
28.5,81,19.95,37.95,11.38,0.89,4.65,7.33
36,99,4.6,18.78,13,0.69,3.7,27.9
23.5,61.5,1.97,11.03,12.45,0.38,4.02,50.47
23.25,55.75,1.5,5.25,13.3,0.44,3.05,89.67
24.5,55,1.57,6.05,13.63,0.5,2.55,77.45
18,37.75,1.77,6.52,13.63,0.53,1.97,55.88
19.75,39.25,2.07,9.15,14.77,0.34,5.18,41.65
16,41.5,2.25,12.45,13.95,0.4,5.95,33.8
16,51.25,2.9,13.85,12.02,0.44,6.52,25.95
16,38.75,3.9,8.95,12.08,0.43,6.12,23.05
15,37,3.42,6.43,13.05,0.29,6.83,27.45
12.25,44.5,2.92,5.77,15.22,0.27,4.43,36.75
13,49,4.23,8.28,15.9,0.67,10,42.15
11.25,53.25,5.8,8.15,10,0.19,13.15,46.05
12.75,61.25,24.15,15.3,8.62,0.07,6.52,47.5
14.25,69,6.43,8.02,9.47,0.15,5.98,58.8
12.75,81.25,8.1,17.58,5.67,0.25,5.75,73.02
16.25,85.25,10.28,17.78,5.23,0.33,3.85,72.02
20.5,94.25,8.4,13.95,7.13,0.4,3.35,71.05
22,92,5.73,17.2,6.85,0.38,5.02,64.7
25.5,105,12.2,30.62,7.3,0.57,7.77,35.77
22.5,118.25,9.35,30.03,9.6,0.68,6.88,23
26.5,123.5,6,19.95,9.67,0.45,6.45,35.28
25,95,3.4,14.55,10.1,0.47,5.22,38.2
23.5,75.75,2.48,11.93,10.45,0.53,4.25,37.25
19,72,1.4,10.72,10.3,0.59,3.35,36.25
18.25,71.75,1.53,8.37,10.35,0.26,5.3,38.2
13.25,64.25,1.53,7.55,10.12,0.31,4.7,33.32
13.75,55.75,1.2,7.57,9.9,0.34,5.05,31.4
12.75,59.5,1.35,6.02,9.78,0.34,4.75,40.2
12,44,1.57,4.15,10.05,0.16,4.85,31.87
12.25,38,1.88,4.68,9.92,0.18,4.92,28.4
12.75,38.5,2.92,6.52,9.83,0.25,7,27.92
11.75,40.75,3.53,5.38,10.15,0.29,6.98,30.87
11.25,44.75,3.33,4.4,10.27,0.18,8,37.23
11.5,48.75,3.45,4.75,10.3,0.23,7.73,42.65
10.75,45,4.75,6.25,10.55,0.3,7.55,51.95
12.25,44.25,4.55,7.1,9,0.23,16.85,60.27
10.25,43.5,15.8,5.7,9.05,0.22,7.7,63.22
13,52.75,6.43,6.98,7.42,0.24,5.12,72.52
14.75,62.25,5.55,9.35,13.87,0.33,2.75,76.93
14.5,49.25,5.17,12.25,14.18,0.47,5.12,78.4
16.25,55.5,6.88,12.03,11.08,0.22,5.85,71.05
16.5,55,9.98,21.2,8.85,0.27,1.2,55.35
15,33,10.95,29.32,12.87,0.49,4.5,29.9
15.75,43.5,18.9,38.2,13.03,0.6,7.85,17.63
17.75,53.75,6.4,25.65,14.38,0.37,9.78,25
16,38.5,1.68,4.57,16,0.57,9.1,54.88
13,21,1.83,8.52,15.28,0.45,10.55,39.17
13,18,3.67,17.82,16.5,0.65,10.35,21.1
11.25,23.25,3.17,15.42,16.58,0.18,10.6,20.55
14.25,20.25,2.65,12.42,15.07,0.21,10.1,20.55
15,27,2.73,15,13.98,0.29,9.05,17.65
22,28,2.5,22.57,13.57,0.36,8.88,13.23
14.75,27.75,1.95,20.47,14.5,0.24,7.65,13.72
10.5,18.25,1.7,14.35,14.8,0.26,7.62,22.53
8.75,17.75,2.12,5.7,14.77,0.43,5.58,32.82
8.75,14.75,3.2,6.23,13.1,0.41,5.35,29.9
11,17,4.35,6.25,11.87,0.27,4.83,32.82
11.5,15.75,3.8,6.77,12.1,0.36,5.02,40.2
12.25,20.25,6.35,11.72,13.33,0.44,4.9,42.18
15.5,26,8.35,11.15,14,5.18,13,53.4
6.5,26.25,18.95,15.57,11.33,0.43,7.85,62.72
11.5,38.75,7.25,11.42,12.35,0.34,4.48,79.38
13.25,49,8.3,19.57,13.73,0.45,2.43,81.35
15.75,56.25,5.23,10.43,15.35,0.61,3.82,82.83
20.5,60.25,4.98,26.35,12.48,0.56,3.87,54.9
20.75,62.5,11.07,24.3,8.97,0.38,5.5,52.43
26,69.5,10.45,30.6,9.32,0.52,5.62,38.22
29.75,80.25,11.08,33.15,12.25,0.67,5.48,28.92
44,95.25,12.37,43.27,11.08,0.73,5.08,6.88
49,102,6.32,25.5,13.45,0.65,4.92,18.15
33.5,70.25,4.27,17.1,12.62,0.53,4.82,29.9
23,56,3.1,16.9,13.12,0.6,4.3,19.6
24.25,55.5,2.15,13.58,12.53,0.4,6.02,30.87
17.5,38.5,1.35,4.75,11.67,0.48,4.95,82.32
4.25,9.5,1.1,2.65,10.95,0.5,4.7,92.15
6.25,11.25,1.07,3,10.68,0.49,4.45,87.7
10,22,1.35,2.92,10.53,0.21,4.45,84.27
13.5,25.5,1.95,9.95,11.22,0.3,4.1,61.27
17,25.75,2.8,10,10.33,0.36,4.4,62.7
16.25,24.25,1.65,5.85,10.45,0.38,4.73,57.83
13.25,21.5,2.05,5.23,10.25,0.22,3.85,49
11.5,22,2.62,4.95,9.95,0.28,3.55,43.6
16,34.5,3.1,5.5,11.15,0.31,4.05,46.07
18.25,43,2.25,5.1,11.05,0.12,7.55,57.82
16,49,13.6,4.95,8.25,0.29,3.5,68.1
16.75,45,1.92,6.67,26.6,0.65,1.35,64.67
22,33,2.5,8.37,11.2,0.21,3.5,69.1
19.75,35,3.92,15.2,9.05,0.22,3.93,61.72
22.5,34.25,2,6.77,10.6,0.33,3.98,78.9
25.25,26.75,2.1,3.75,10.28,0.57,3.88,90.65
27.25,37.5,1.85,7.45,9.52,0.52,5.67,76.43
21.25,35.5,2.4,8.57,9.08,0.53,6.38,63.2
18.5,32.25,1.7,5,8.8,0.3,6.65,72.53
17.25,26.25,1.82,3.25,8.57,0.3,6.02,79.4
16.5,24.75,1.67,3.27,9.23,0.4,5.7,65.67
12,27,1.35,3.9,9.25,0.46,4.8,64.7
12.75,21,1.4,3.42,11.33,0.96,4.93,79.38
10.5,13.5,1.7,2.48,10.3,0.96,4.42,86.72
14.25,19,1.47,5.25,9.2,0.99,5.12,75.45
10.75,21.75,1.32,4.73,8.88,0.91,4.58,61.75
7.5,21,1.3,4.85,8.9,0.35,2.65,50.47
10.25,23.25,1.42,7.3,9.22,0.36,3.2,37.75
14,28.75,1.85,6.9,9.7,0.44,3.68,31.37
14,25,2.22,5.75,9.62,0.46,2.5,34.3
13.25,25.5,2.03,4.97,9.55,0.34,2.43,38.73
11.5,20,2.35,4.77,9.6,0.41,1.57,47.55
12,19.25,1.82,4.48,9.95,0.47,1.7,48.02
11,18,2.5,3.85,10.2,0.52,2.47,54.88
9.25,14.5,2.68,2.95,9.38,0.17,5.52,56.82
13,22,2.9,2.25,8.95,0.23,5.57,54.9
13,23.75,2.73,2.88,9.5,0.28,6.05,58.8
13.5,28.75,2.05,3.27,10.23,0.36,7.12,62.7
15.5,29.75,2.58,4.1,13.48,0.2,11.15,64.2
17.25,35,2.27,5.45,11.65,0.37,10.4,64.2
17.5,38.75,2.05,5.17,10.08,0.3,5.48,59.77
16.5,49,4.82,10.5,7.82,0.36,7.63,46.05
18,46,1.87,12.17,8.62,0.32,7.92,37.73
16.75,37,1.97,8.72,9.3,0.4,6.85,42.15
18.25,39,2.1,7.22,10.2,0.46,6.27,38.23
16,36,1.75,5.8,9.85,0.49,5.9,33.32
16.25,34.25,1.38,6.43,10.35,0.28,5.48,36.27
14,29.25,1.23,5.1,10.15,0.41,5.2,50.45
14.25,29.25,1.35,3.62,11.53,0.39,6.9,55.85
14.5,26,1.18,2.68,10.4,0.38,7.7,64.17
12.5,22.5,1.45,2.93,8.55,0,7.38,58.3
10.75,20.25,1.7,3.62,8.4,0.16,4.98,56.8
10.25,19.75,2.3,3.55,7.98,0.11,6.38,55.38
11,24.25,1.72,3.48,7.35,0.16,5.52,55.38
11.25,23.75,2.07,3.85,7.3,0.27,5.07,55.38
13.25,27,2.25,4.2,7.32,0.34,4.38,58.8
15.75,25.25,3.43,6.12,7.6,0.44,3.95,62.25
13.5,38.5,4.1,7.2,7.15,0.33,8.15,58.8
17.5,40,13.68,7.27,10.2,0.29,4.05,73.98
17.75,40.25,3.65,8.97,12.33,0.45,4.25,81.85
21.75,43.75,3.52,9.27,16.53,0.63,5.5,92.57
19,52.25,3.5,10.05,12.08,0.61,5.02,92.6
21.75,55.25,3.85,12.47,10.65,0.51,4.75,81.85
21.25,60.75,4.68,13.62,9.77,0.55,5.33,75.45
21.75,55,3.15,14.85,10.7,0.58,5.77,64.2
21,49.5,3.28,12.47,11.08,0.71,5.07,56.8
22.25,52.25,2.43,10.25,7.5,0.28,6.73,51.45
25,57.5,3.42,12.75,7.28,0.24,6.73,42.12
21.75,55.5,1.85,7.7,7.45,0.26,6.35,60.27
21,36,1.43,6.95,8.13,0.31,6.52,55.85
13.75,21.5,1.1,6.63,9.33,0.37,6.05,53.9
13.25,18.75,1.1,3.47,10.4,0.48,6.15,57.35
14.25,23.5,1.1,2.93,11.12,0.48,5.7,52.95
15,22,1.32,3.97,11.15,0.53,5.7,46.1
14.5,22.5,1.25,2.95,11.53,0.27,4.47,42.62
14.5,26.25,1.75,4.15,11.17,0.31,4.75,32.82
10.75,24,2.17,5.03,11.12,0.38,5.4,29.9
13.75,24.75,3.15,7.85,11.23,0.44,4.55,27.95
16.75,28.25,5.55,10.47,10.85,0.31,3.85,26.45
18.25,32.25,3.55,6.82,10.85,0.33,3.55,39.2
16.5,34.75,2.95,4.48,10.9,0.34,3.9,51.43
18.25,42,2.15,5.3,15.55,0.34,7.1,58.8
20.5,53.5,15.05,6.75,10.55,0.07,6.95,61.75
23.75,67.75,3.78,6.1,8.65,0.02,4.85,63.2
20.25,61,3.28,7.8,9.2,0.5,6.83,64.67
22,63.25,3.7,10.97,11.83,0.77,4.9,64.17
25.75,66.75,4.58,13.45,10.4,0.25,6.48,62.23
26.5,55,3.9,11.83,12.5,0.49,6.98,65.65
22,49,2.6,11.33,11.85,0.49,2.42,66.15
10.75,24.25,1.3,3.4,9.6,0.2,4.32,65.17
13.75,25,1.62,3.9,9.65,0.22,5.68,52.45
18.5,28.5,1.6,7.1,9.97,0.31,6.4,45.05
20.25,31.5,1.12,7.12,9.77,0.36,7.57,47.5
17.5,29.25,1.1,4.42,9.78,0.68,8.52,50.48
15.75,27.5,1.32,4.02,10.47,0.71,7.7,53.43
14.75,28.5,1.82,2.7,9.68,0.7,8.45,51.48
14,26,1.67,3.12,9.17,0.67,8.85,49.5
14.25,23.5,1.95,3.1,9.25,0.31,8,50.5
15.25,25.75,1.85,3.38,10.03,0.39,6.55,50.5
16.25,26.25,3.12,5.9,10.45,0.46,4.6,51.45
17,22.5,3.1,5.2,11,0.44,0.25,55.85
16.25,29.5,3.4,5.62,10.95,0.2,4.58,56.32
15,37,4.73,7.5,11.05,0.25,6.18,56.35
18,38.25,4.1,6.77,10.95,0.29,7.2,61.75
18,39.5,3.3,6.4,11.33,0.26,6.3,65.17
17.5,32.25,4,8.37,10.9,0.3,11.4,61.75
16.25,33.25,4.07,8.57,9.7,0.36,11.33,62.23
17.5,35.75,3.5,9.9,9.07,0.43,5.03,60.27
19.25,41.75,4.82,18.12,10.32,0.59,7.35,36.25
22,44.5,4.48,15.27,10.68,0.33,7.35,43.6
28,46,1.8,4.4,10.42,0.27,5.93,64.65
12.5,25.25,1.65,4.2,10.85,0.32,5.77,62.7
16,21.5,1.73,7.8,12.65,0.35,5.9,52.93
12.25,16.75,1.13,9.52,15.9,0.89,5.57,49
10.5,34.5,1.4,6.48,11.67,0.66,3.9,55.35
12.25,73.5,1.08,6.75,10.22,0.69,4.28,49
13.5,23,1.25,5.93,9.85,0.64,4.67,63.7
13.75,19,1.53,4.7,12.47,0.12,3.97,49
10,16,1.15,6.25,23.75,0.51,1.65,45.1
10,16,3.75,6.55,4.25,0,9.5,33.8
4,15,5.05,11.8,9.2,3.3,73.03,28.4
4.5,14.5,94.3,3.1,19.4,0.26,6.42,28.9
7,19.75,4.2,10.77,35.93,0.68,5.65,29.9
11,24.5,2.1,9.95,22.35,0.75,4.85,29.4
14.25,24.75,2.18,9.7,20.97,0.91,6.02,28.4
15,29.25,1.88,10.12,19.5,0.53,6.2,27.92
15,27,1.92,6.4,17.5,0.46,6.08,30.4
14,26.25,1.85,3.25,15.95,0.54,6.18,31.4
11.75,23.5,1.4,2.6,15,0.67,6.05,32.35
13,21,1.67,3.12,15.25,0.88,6.17,30.9
10,23,1.4,6,30.5,0.07,3.1,21.55
12,24,2.8,3.65,22.9,0.41,4.6,18.65
11,28.25,13.3,4.43,16.52,0.17,9.35,18.63
7.5,30.25,2.85,4.82,17.17,0.19,8.67,20.1
8.25,28.75,2.65,4.88,35.45,0.16,8.03,21.6
13.25,39,3.68,7.7,25.03,0.18,7.15,21.6
9.25,37.25,3.32,9.72,11.5,0.47,7.38,20.6
13.25,41.25,5.27,18.52,12.65,0.8,7.38,15.7
13.25,41.25,4.62,18.18,15.05,0.84,5.82,14.2
12,38.75,3.73,15.87,15.8,0.63,5.75,13.7
15,39.75,1.6,13.62,14.6,0.39,5.98,15.17
13.25,38.25,1.98,7.47,13.6,0.22,5.07,19.6
8,18.5,1.28,4.9,13,0.39,5.25,19.6
7.5,20,1.35,5.38,12.55,0.37,5.35,19.6
5.75,17,1.12,2.67,11.77,0.66,5.83,22.55
5.5,10.25,1.45,1.97,11.55,0.72,5.5,20.58
7.25,15.5,1.03,2.3,13,0.48,6.38,19.6
7,10.75,1.28,2.1,13.25,0.36,6.23,28.45
4,10,1.48,2.2,14.9,0.21,6.35,20.1
3.75,10.5,0.97,7.17,13.23,0.11,5.83,16.65
5.5,18.75,1.33,5.48,11.75,0.4,7.9,17.6
3.75,20.25,1.9,4.25,11.53,0.45,7.6,16.17
4,20.5,1.7,4.12,11.02,0.19,7.7,15.7
7.25,28.25,2.95,4.55,11.2,0.33,7.57,14.7
7,26.5,2.7,3.18,11.5,0.21,7.8,16.15
7,26.75,2.45,3.6,10.6,0.03,7.17,17.6
9.5,33.5,2,2.77,10.05,0.32,5.97,18.6
9.25,30.75,2.08,2.65,10.33,0.17,5.47,21.08
13.25,36.5,1.97,2.2,11.35,0.14,5.2,25.5
13,40,1.7,2.03,11.77,0.18,4.68,25
11,43,2.2,2.52,13.3,0.37,5.48,22.08
13.25,32.25,1.83,2.68,12.88,0.15,5.3,24
11.25,30.5,3.52,7.28,10.8,0.28,6.15,20.1
13.25,40.25,4.63,16.95,11.65,0.4,6.5,12.75
15.25,41.5,7.35,20.85,14.1,0.45,6.33,10.78
11,46.5,2.1,7.28,13.15,0.25,6.43,21.1
13,29.25,1.5,4.07,12.38,0.24,6.35,22.08
10,27,1.55,3.02,11.9,0.2,6.08,21.6
7.5,24.5,0.95,4.1,12.47,0,4.78,20.1
6,24.75,1.47,3.32,10.48,0,4.5,19.1
5.5,22.5,1.45,3.15,11.73,0.09,4.05,17.6
4.5,18.25,1.28,3.12,11.12,0.01,4.42,25.5
6.75,19.5,1.32,3.67,9.77,0.25,3.75,15.7
8.75,21.5,1.13,2.98,10.15,0.23,3.75,15.2
8,22.75,1.67,3.05,9.88,0.24,5.72,14.2
7.5,22.5,2.53,2.18,9.78,0.23,6.4,15.7
6.75,23,2.75,2.5,9.92,0.28,6.85,18.1
9,20,2.32,2.88,9.92,0.27,5.82,21.1
6.5,27.75,3.08,4.55,13.4,0.47,5.9,22.55
7.5,31.5,3.35,3.95,12.1,0.17,11,23.5
6,36,14.8,4.9,7.75,0.23,8.8,24.97
5,28,5.02,7.65,6.77,0.46,8.05,25.5
5.5,29.5,7.22,12.85,22.7,0.6,5.7,26.45
6.75,24.5,6.82,18.23,22.8,0.48,6.23,25.47
8.25,22.5,2.97,9.65,10.02,0.03,18.03,28.4
13.25,20.75,4.55,8.63,10.25,0.25,17,22.05
8,20,4.8,9.45,9.68,0.51,10.38,24.03
8,22.5,4.3,10.6,8.55,0.51,8,20.08
8,25,4.33,10.73,8.9,0.58,7.75,19.1
9,24,2.98,10.45,8.9,0.57,7.68,18.6
8,18,4.8,11.95,10.67,0.59,7.4,16.65
6,29,2.1,6.58,11.35,0.51,7.15,19.1
5,14,1.38,3.93,11,0.38,9.28,21.6
5,23,1.12,3.62,11.5,0.35,11.45,20.1
5,19,1.3,3.85,12.18,0.34,12.62,18.6
7,20,1.45,5.2,13.17,0.5,11.8,15.7
7,20,1.3,6.23,13.6,0.4,13.5,15.7
5,20,1.7,6.33,13.1,0.39,13.82,14.2
4,17,1.85,4.67,12.93,0.4,10.17,15.7
4,21,2.68,3.93,12.58,0.43,9.33,18.1
6,17,3.15,1.97,12.98,0.41,9.3,23.53
9,20,2.82,2.6,12.77,0.44,3.2,28.4
6,22,3.8,6.53,13.65,0.47,8.03,29.9
4,21,10.45,9.75,11.08,0.21,12.6,29.9
7,38,17.95,11.05,17.2,0.48,10.27,28.4
8,32,10.3,12.7,11.1,0.46,12.35,31.37
8,33,10.83,12.72,9.4,0.41,15.25,32.82
12,38,7.82,12.82,29.25,0.51,10.9,33.8
11,36,8.6,14.47,11.7,0.4,13.65,35.3
10,41,6.27,10.22,11.62,0.37,14.15,36.73
11,41,6.38,16.2,11.83,0.44,10.72,34.3
11,45,5.32,13.77,12.88,0.48,8.88,31.4
15,53,2.05,12.35,12.67,0.55,7.6,30.4
8,38,6.4,12.05,12.33,0.59,6.05,24.53
12,29,2.72,15.33,11.78,0.62,7.5,19.58
13,33,2,15.05,12.05,0.63,7.9,18.63
10,28,2.7,14.82,12.1,0.5,8,16.65
10,31,3.63,10.03,12.77,0.41,6.35,18.63
6,27,1.12,5.23,12.75,0.35,5.38,23.5
8,41,1.35,5.65,13.53,0.45,5.23,30.4
9,36,1.15,6.7,14.1,0.39,4.63,19.6
14,37,1.55,9.25,14.92,0.4,3.2,16.65
10,35,6.67,8.83,16.55,0.46,9.63,15.67
7,38,3.07,5.2,18.2,0.43,12.6,23.03
13,32,3.22,3.38,15.17,0.4,8.38,26.45
7,31,3.02,5.23,16.82,0.43,4.9,31.4
9,38,5.15,10.77,25.85,0.23,13.8,33.8
4.75,31.75,14.18,9.55,10.38,0.49,12.85,42.15
7.5,33.25,4.77,9.2,22.48,0.52,11.18,42.15
16.25,45.25,4.05,6.02,13.97,0.24,7.95,43.12
11.25,51.25,4.73,5.25,6.6,0.28,12.08,44.1
11.5,86.75,4.73,6.7,10.58,0.48,13.67,44.1
10,39,3.2,7.15,14.37,0.52,14.7,45.57
10.5,42.75,4.07,15.38,15.55,0.58,11.88,35.75
12.25,49.5,7.1,30.35,15.15,0.65,12.77,20.1
12.75,58.25,5.85,22.03,15.97,0.69,15.3,20.55
13.5,51.5,4.4,23.43,13.1,0.63,13.18,21.05
15.5,65,4.48,29.27,13.45,0.69,13.17,14.23
17,83,2.9,24.5,13.85,0.64,12.6,15.67
12.25,64.25,1.77,14.27,13.55,0.53,7.1,24.03
13,50,1.75,5.57,13.15,0.5,5.45,27.4
13.5,44.25,1.55,4.05,13.7,0.49,4.13,24.5
8.75,36.25,2.07,4.4,11.35,0.42,5.4,25.5
8.75,37.25,2.45,4.22,12.2,0.38,6.8,25.97
11.25,39.25,2.4,5.38,12.65,0.4,7.28,25.5
11.75,44,2.22,3,11.92,0.41,7.75,25.97
12.25,47.5,2.9,3.07,11.55,0.42,7.62,27.4
15,48.5,2.93,3.07,12.85,0.41,6.98,29.9
13.5,48.5,3,4.28,8.13,0.36,7.4,32.35
14.75,49,3.87,5.97,9.58,0.39,7.95,35.77
14,46,3.35,7.15,11.95,0,8.8,40.2
17,51,14.55,8.55,15.7,0.4,8.62,44.6
8.75,45.25,6.35,12.17,12,0.42,9.3,45.05
11.5,46.5,6.5,13,9,0.33,11.98,47.5
12.75,47.25,9.03,15.05,6.85,0.23,13.37,40.18
12,45,7.85,17.8,7.18,0.48,13.02,37.73
11.25,45.5,10.9,18.18,8.27,0.51,14.53,38.2
10,47,4.58,11.97,9,0.46,9.27,36.73
13,50.5,3.18,15.62,9.2,0.53,9.1,29.42
15,63.75,3.18,18.45,10.3,0.52,10.1,27.45
18,63.5,2.43,9,10.53,0.47,10.55,33.3
9.75,39.25,1.83,6.62,10.75,0.43,10.42,34.77
12,43,1.4,4.7,10.42,0.38,9.75,36.25
5.75,26.75,1.32,3.25,10.5,0.4,9.7,33.8
4.5,17,1.62,3.48,10.4,0.39,9.25,31.4
4.25,16.5,1.4,2.82,10.4,0.39,9.17,31.4
5,15.5,1.2,4,10.33,0.38,9.5,40.65
5,17,1.58,2.82,10.23,0.36,9.98,28.4
5,17,1.3,1.6,10.4,0.37,9.1,29.4
8,22.25,2.18,2.8,10.43,0.4,10.55,25.97
11.25,24,3,4.42,10.1,0.42,10.47,25.5
12.25,28.75,4.32,5.93,10.98,0.45,10.08,23.5
14.75,32.75,4.93,9.23,10.62,0.5,10.92,22.55
17.5,27.5,4.55,7.48,10.72,0.51,10.55,25.5
10,25,6.8,9.95,11.25,0.29,16,24
12,30.5,6.25,11.85,12.05,0.51,5.4,24.97
18.25,42.25,6.05,11.7,8.88,0.43,7.65,24.03
20.5,45.25,6.1,12.4,9.47,0.55,6.9,20.6
21.5,41.25,6.1,15.98,35.7,0.71,6.13,21.1
13,51,5.1,18.3,16.3,0.44,10.8,21.6
18,57.5,6.02,27.17,15.43,0.58,10.65,17.15
28.25,66.25,5.07,36.38,13.58,0.77,11.9,11.78
42.75,77.75,18.15,47.4,11.8,1,10.88,7.8
28,66,3.2,12.7,13.3,0.48,9.95,25.5
15.75,35.5,13.55,21.08,13.58,0.6,10.25,19.6
14.25,25.75,15.62,29.12,15.78,0.73,9.85,10.3
21,37,2.1,14.75,15.35,0.53,10.2,21.55
8.25,14.75,2.5,10.35,13.45,0.45,4.62,22.55
8.75,16.75,1.12,12.7,13.35,0.45,4.4,20.1
8,16,1.35,12.15,13.53,0.43,4.3,16.65
6.25,14.75,1.45,4.93,12.97,0.35,5.38,36.72
7,22,1.35,2.5,13.78,0.32,3.88,25.97
10,23.5,1.43,2.52,15.22,0.31,4.48,27.4
12.5,29.25,1.53,2.58,15.15,0.31,9.75,27.4
10.5,32,2.42,3.83,15.48,0.35,8.17,26.45
9.25,29.75,2.6,4.45,14.48,0.35,8.7,28.4
12.75,31.5,2.77,2.72,14.65,0.34,8.53,33.32
21.25,30.25,2.98,3.2,16.6,0.36,7.5,37.73
