Year,Month,Day,avg(AQI)
2017,6,9,68.05263157894737
2017,6,10,53.583333333333336
2017,6,11,78.46666666666667
2017,6,13,58.1578947368421
2017,6,14,98.73913043478261
2017,6,15,87
2017,6,16,81.71428571428571
2017,6,17,93.31818181818181
2017,6,18,88.17391304347827
2017,6,19,66
2017,6,20,75
2017,6,21,76.42857142857143
2017,6,22,72.65217391304348
2017,6,23,82.52173913043478
2017,6,24,85.56521739130434
2017,6,25,71.91304347826087
2017,6,26,71.73913043478261
2017,6,27,71.04347826086956
2017,6,28,68.65217391304348
2017,6,29,72.27272727272727
2017,6,30,77.17391304347827
2017,7,1,75.56521739130434
2017,7,2,69.82608695652173
2017,7,3,74.78260869565217
2017,7,4,77.95652173913044
2017,7,5,74
2017,7,6,73.8695652173913
2017,7,7,71.91304347826087
2017,7,8,82.82608695652173
2017,7,9,79
2017,7,10,51.6875
2017,7,11,79.1304347826087
2017,7,12,76.43478260869566
2017,7,13,72.34782608695652
2017,7,14,64.9090909090909
2017,7,15,81.73333333333333
2017,7,17,36.333333333333336
2017,7,18,65.25
2017,7,19,70.28571428571429
2017,7,20,53.0625
2017,7,21,63.375
2017,7,22,74
2017,7,23,85.27272727272727
2017,7,24,70.6470588235294
2017,7,25,65.64285714285714
2017,7,26,64.33333333333333
2017,7,27,74.375
2017,7,28,67.8695652173913
2017,7,29,68.6086956521739
2017,7,30,73.47826086956522
2017,7,31,82.95652173913044
2017,8,1,75.3913043478261
2017,8,2,63.666666666666664
2017,8,4,63.13636363636363
2017,8,5,80.1304347826087
2017,8,6,94.6086956521739
2017,8,7,99.56521739130434
2017,8,8,123.3125
2017,8,11,71.21052631578948
2017,8,12,70.17391304347827
2017,8,13,64.82608695652173
2017,8,14,68.0909090909091
2017,8,15,64.6086956521739
2017,8,16,75.30434782608695
2017,8,17,89.43478260869566
2017,8,18,103.95652173913044
2017,8,19,73.08695652173913
2017,8,20,62.47826086956522
2017,8,21,61.59090909090909
2017,8,22,37.42857142857143
2017,8,23,68.52173913043478
2017,8,24,85.69565217391305
2017,8,25,85.35
2017,8,26,52.6
2017,8,27,57.56521739130435
2017,8,28,57.21739130434783
2017,8,29,58.43478260869565
2017,8,30,57.63636363636363
2017,8,31,63.54545454545455
2017,9,1,73.17391304347827
2017,9,2,92.78260869565217
2017,9,3,76.84210526315789
2017,9,4,65.26086956521739
2017,9,5,77.17391304347827
2017,9,6,86.04545454545455
2017,9,7,89.30434782608695
2017,9,8,76.26086956521739
2017,9,9,68.95
2017,9,10,65.1304347826087
2017,9,11,60.08695652173913
2017,9,12,56.30434782608695
2017,9,13,58.65217391304348
2017,9,14,60.08695652173913
2017,9,15,57
2017,9,16,60.391304347826086
2017,9,17,40
2017,9,18,58.30434782608695
2017,9,19,64.13636363636364
2017,9,20,63.083333333333336
2017,9,21,72.21875
2017,9,22,64.3913043478261
2017,9,23,63.78260869565217
2017,9,24,105.82608695652173
2017,9,25,106.43478260869566
2017,9,26,80.57777777777778
2017,9,27,106.4888888888889
2017,9,28,94.8125
2017,9,29,74.68888888888888
2017,9,30,70
2017,10,1,106.73684210526316
2017,10,3,61.148148148148145
2017,10,4,102.04166666666667
2017,10,5,165.16
